epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3384,2.96976,6.23843,2.42242,0.0016,0.84926,0.05957,0.01858,2.05295,5.37926,1.82892,0.00028,0.00028,0.00028
2,38.9062,2.02187,4.49276,1.61925,0.00146,0.77206,0.13557,0.05287,2.27265,5.79857,2.07626,0.000578086,0.000578086,0.000578086
3,55.7535,1.93679,3.73528,1.60474,0.24661,0.09559,0.08404,0.02853,2.33143,5.84328,2.3111,0.000874192,0.000874192,0.000874192
4,72.8932,1.91458,3.44884,1.61377,0.25011,0.01838,0.04059,0.01009,2.96244,6.26727,2.91799,0.00116832,0.00116832,0.00116832
5,90.0342,1.97233,3.07788,1.66102,0.00049,0.26103,0.00056,0.00014,3.68078,6.72341,3.46713,0.00146046,0.00146046,0.00146046
6,106.774,2.02238,2.8997,1.6991,0.0001,0.05147,6e-05,2e-05,4.98746,6.78244,20.1529,0.00175063,0.00175063,0.00175063
7,125.237,2.02825,2.7073,1.71076,0.0007,0.29412,0.00048,0.00018,nan,nan,nan,0.0019604,0.0019604,0.0019604
8,141.464,2.06671,2.73329,1.79712,0.06663,0.05147,0.00672,0.00234,3.77457,4.48793,4.23081,0.0019538,0.0019538,0.0019538
9,158.315,2.02536,2.51647,1.71817,0.09041,0.25,0.04824,0.01659,2.6455,15.1108,2.78634,0.0019472,0.0019472,0.0019472
10,174.863,1.99955,2.45383,1.71029,0.15619,0.22794,0.12094,0.04182,2.08373,8.10196,2.1076,0.0019406,0.0019406,0.0019406
11,191.69,1.95283,2.37464,1.67465,0.0001,0.01103,6e-05,2e-05,4.90327,6.68846,4.60673,0.001934,0.001934,0.001934
12,208.024,1.90276,2.36112,1.67625,0.19884,0.16912,0.08769,0.03126,2.68707,3.09567,2.48339,0.0019274,0.0019274,0.0019274
13,224.459,1.90584,2.25781,1.64424,0.39994,0.36512,0.32086,0.12893,2.11528,3.80148,1.91343,0.0019208,0.0019208,0.0019208
14,241.394,1.91366,2.21422,1.66242,0.33626,0.38971,0.25467,0.09879,2.13435,2.92544,1.97399,0.0019142,0.0019142,0.0019142
15,257.674,1.87796,2.16412,1.60611,0.29704,0.33088,0.24954,0.10608,2.0261,10.473,1.93615,0.0019076,0.0019076,0.0019076
16,274.341,1.84599,2.14457,1.61563,0.30472,0.36765,0.25004,0.09324,2.01173,5.42524,1.86398,0.001901,0.001901,0.001901
17,290.786,1.82007,2.14104,1.6105,0.38472,0.4375,0.35134,0.1488,1.81866,4.29904,1.69162,0.0018944,0.0018944,0.0018944
18,308.116,1.81977,2.13094,1.56426,0.31551,0.34926,0.23929,0.09103,2.1455,3.56094,1.92734,0.0018878,0.0018878,0.0018878
19,325.148,1.8128,2.06904,1.61239,0.37128,0.39338,0.33152,0.14153,1.81814,2.78851,1.67555,0.0018812,0.0018812,0.0018812
20,341.591,1.81337,2.09768,1.59235,0.34755,0.47981,0.32468,0.14226,1.89386,2.77621,1.69593,0.0018746,0.0018746,0.0018746
21,358.646,1.77946,2.0635,1.5361,0.29704,0.22059,0.15538,0.06456,2.13268,3.14283,1.91891,0.001868,0.001868,0.001868
22,375.063,1.76832,2.08054,1.55094,0.21452,0.26103,0.13494,0.04651,2.38348,2.7898,1.99688,0.0018614,0.0018614,0.0018614
