epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0072,2.79716,4.10052,2.51996,0.00264,0.58787,0.04985,0.01625,2.42305,4.08731,2.13705,0.00022,0.00022,0.00022
2,34.5545,1.93941,3.25909,1.74057,0.0037,0.82271,0.14427,0.05176,2.03136,3.80748,2.06408,0.000458482,0.000458482,0.000458482
3,49.498,1.76769,2.70105,1.58571,0.00518,0.68585,0.22975,0.08382,1.93734,3.52095,1.85539,0.00069538,0.00069538,0.00069538
4,64.57,1.74357,2.61302,1.5681,0.47828,0.21306,0.22183,0.09102,2.03223,3.48957,2.0278,0.000930694,0.000930694,0.000930694
5,79.802,1.73223,2.45106,1.52268,0.05944,0.01555,0.00794,0.00447,3.97269,5.98573,4.54788,0.00116442,0.00116442,0.00116442
6,94.7432,1.74961,2.34151,1.56248,0.06897,0.02333,0.0127,0.00611,3.4339,4.22759,3.56751,0.00139657,0.00139657,0.00139657
7,109.726,1.73803,2.26153,1.5642,0.00731,0.00156,0.00057,0.0002,3.89724,6.56629,4.99903,0.00162713,0.00162713,0.00162713
8,125.464,1.7385,2.14307,1.55675,0.13898,0.02955,0.01885,0.00752,3.34335,3.95078,3.57929,0.00185611,0.00185611,0.00185611
9,139.965,1.78343,2.14256,1.59651,0.02961,0.00467,0.00142,0.00041,3.96458,3.84874,4.50487,0.0019472,0.0019472,0.0019472
10,155.104,1.77766,2.04652,1.57508,0.0392,0.02022,0.00379,0.00106,3.99533,4.20168,6.2251,0.0019406,0.0019406,0.0019406
11,169.924,1.72721,2.02662,1.5514,0.06013,0.09953,0.01375,0.00439,3.2706,4.67135,3.89372,0.001934,0.001934,0.001934
12,185.377,1.69453,1.96472,1.53706,0.29251,0.24261,0.15325,0.04874,2.47522,5.86472,2.49985,0.0019274,0.0019274,0.0019274
13,200.259,1.68006,1.90496,1.51623,0.0482,0.19129,0.02068,0.00708,2.74869,5.12419,2.79004,0.0019208,0.0019208,0.0019208
14,214.889,1.72102,1.90176,1.53004,0.30892,0.29393,0.21187,0.08703,2.24333,3.41407,2.18736,0.0019142,0.0019142,0.0019142
15,230.215,1.66448,1.88983,1.49248,0.28091,0.17729,0.12479,0.04545,2.58842,3.25437,2.44677,0.0019076,0.0019076,0.0019076
16,244.693,1.62235,1.80709,1.49509,0.24112,0.19469,0.10282,0.04215,2.58313,4.09852,2.46775,0.001901,0.001901,0.001901
17,259.455,1.63619,1.86327,1.49946,0.29817,0.25194,0.17728,0.07052,2.28503,3.74836,2.16669,0.0018944,0.0018944,0.0018944
18,274.435,1.60869,1.7298,1.45716,0.50868,0.47339,0.4136,0.18288,1.96662,3.30958,1.87548,0.0018878,0.0018878,0.0018878
19,289.841,1.57849,1.74438,1.44355,0.35205,0.1944,0.16374,0.07826,2.23745,3.51132,2.14154,0.0018812,0.0018812,0.0018812
20,304.757,1.56163,1.74446,1.44986,0.30784,0.28771,0.21429,0.07444,2.29879,2.75247,2.01847,0.0018746,0.0018746,0.0018746
21,319.613,1.53073,1.65744,1.41765,0.45585,0.42302,0.38061,0.17319,1.99813,2.05432,1.81937,0.001868,0.001868,0.001868
22,334.418,1.54838,1.65701,1.43375,0.57372,0.40398,0.44092,0.20877,1.90837,2.1414,1.79806,0.0018614,0.0018614,0.0018614
23,349.92,1.54033,1.59274,1.41264,0.33748,0.27994,0.19171,0.08646,2.37132,2.7852,2.20449,0.0018548,0.0018548,0.0018548
24,365.04,1.52789,1.62484,1.39348,0.46447,0.48989,0.42682,0.20475,1.77732,2.84167,1.67715,0.0018482,0.0018482,0.0018482
25,380.295,1.52472,1.62103,1.40839,0.49097,0.45302,0.3927,0.19832,1.93154,2.22786,1.78694,0.0018416,0.0018416,0.0018416
26,395.179,1.5529,1.57306,1.41156,0.51915,0.521,0.47298,0.22556,1.759,2.10392,1.67895,0.001835,0.001835,0.001835
27,410.587,1.51532,1.55518,1.40521,0.58129,0.57698,0.57647,0.29035,1.66676,1.63339,1.56479,0.0018284,0.0018284,0.0018284
28,425.41,1.45172,1.51543,1.35471,0.65948,0.56765,0.62257,0.31956,1.68342,1.52316,1.5773,0.0018218,0.0018218,0.0018218
29,440.473,1.48268,1.53917,1.38499,0.52182,0.52566,0.50681,0.24943,1.72706,2.02975,1.60349,0.0018152,0.0018152,0.0018152
30,455.733,1.50708,1.50239,1.39576,0.62112,0.53499,0.58581,0.30941,1.63902,1.61558,1.54145,0.0018086,0.0018086,0.0018086
31,470.394,1.46308,1.49412,1.3642,0.59878,0.58489,0.59255,0.32235,1.62755,1.61711,1.50599,0.001802,0.001802,0.001802
32,485.274,1.45253,1.44412,1.36126,0.74986,0.59675,0.68752,0.39435,1.45361,1.37828,1.41879,0.0017954,0.0017954,0.0017954
33,500.505,1.40291,1.46224,1.33962,0.61095,0.50855,0.4912,0.24106,1.78415,1.85223,1.63766,0.0017888,0.0017888,0.0017888
34,515.555,1.43323,1.47224,1.33755,0.63924,0.61586,0.63821,0.34749,1.54476,1.47092,1.51551,0.0017822,0.0017822,0.0017822
35,530.453,1.45621,1.47009,1.35252,0.50883,0.6283,0.52413,0.26631,1.65428,1.73189,1.54388,0.0017756,0.0017756,0.0017756
36,545.61,1.39793,1.40276,1.34328,0.5786,0.59098,0.52755,0.25417,1.76036,1.89763,1.62144,0.001769,0.001769,0.001769
37,560.489,1.44529,1.43207,1.33514,0.60912,0.48523,0.55858,0.27603,1.71254,1.72892,1.533,0.0017624,0.0017624,0.0017624
38,575.848,1.41865,1.39444,1.31482,0.7073,0.61632,0.64751,0.37974,1.40186,1.34609,1.36936,0.0017558,0.0017558,0.0017558
39,590.846,1.39863,1.35389,1.31136,0.71584,0.57592,0.62526,0.35494,1.5547,1.45621,1.46642,0.0017492,0.0017492,0.0017492
40,606.148,1.41741,1.43954,1.35648,0.66754,0.60579,0.64471,0.37834,1.50819,1.40961,1.45863,0.0017426,0.0017426,0.0017426
41,620.936,1.38129,1.38482,1.31842,0.57967,0.44168,0.41948,0.22183,1.8391,2.28157,1.6843,0.001736,0.001736,0.001736
42,635.938,1.39724,1.38078,1.32288,0.58541,0.41058,0.41341,0.18882,1.91943,2.52015,1.80384,0.0017294,0.0017294,0.0017294
43,650.749,1.3548,1.37609,1.2923,0.56384,0.43546,0.43397,0.23844,1.77083,2.0924,1.70014,0.0017228,0.0017228,0.0017228
44,665.951,1.38147,1.34763,1.31028,0.70736,0.69051,0.70188,0.38428,1.53235,1.31579,1.4425,0.0017162,0.0017162,0.0017162
45,681.183,1.35084,1.33801,1.29725,0.76968,0.64964,0.73602,0.40907,1.48705,1.27378,1.41411,0.0017096,0.0017096,0.0017096
46,695.533,1.35092,1.34266,1.30005,0.60292,0.38414,0.41437,0.20073,1.96376,2.35342,1.84749,0.001703,0.001703,0.001703
47,710.484,1.34335,1.30181,1.30141,0.71615,0.70762,0.7347,0.42612,1.43266,1.22961,1.37912,0.0016964,0.0016964,0.0016964
48,725.831,1.37951,1.31839,1.31533,0.68469,0.64501,0.68528,0.38367,1.51108,1.31128,1.42129,0.0016898,0.0016898,0.0016898
49,740.577,1.35587,1.31324,1.29841,0.65612,0.63297,0.65173,0.35683,1.54723,1.56688,1.47154,0.0016832,0.0016832,0.0016832
50,755.585,1.339,1.30216,1.29092,0.76907,0.73546,0.75288,0.44102,1.37082,1.17696,1.3357,0.0016766,0.0016766,0.0016766
51,770.914,1.342,1.27854,1.29723,0.66356,0.521,0.56398,0.29286,1.79314,1.63095,1.60194,0.00167,0.00167,0.00167
52,785.635,1.34647,1.27341,1.27562,0.73526,0.63297,0.69841,0.39596,1.47831,1.32138,1.3832,0.0016634,0.0016634,0.0016634
53,800.971,1.31104,1.25169,1.25831,0.67621,0.65319,0.68,0.3826,1.5485,1.36657,1.42213,0.0016568,0.0016568,0.0016568
54,816.135,1.32134,1.25662,1.26669,0.70383,0.51372,0.56949,0.30468,1.65011,1.66452,1.59144,0.0016502,0.0016502,0.0016502
55,830.515,1.33544,1.26464,1.27629,0.6706,0.50544,0.57957,0.29623,1.63071,1.68371,1.50662,0.0016436,0.0016436,0.0016436
56,844.859,1.30958,1.24409,1.26337,0.77575,0.67807,0.76664,0.46027,1.38741,1.1793,1.33713,0.001637,0.001637,0.001637
57,859.665,1.27529,1.22163,1.24508,0.72272,0.67185,0.71361,0.39954,1.5128,1.2935,1.42166,0.0016304,0.0016304,0.0016304
58,874.433,1.34862,1.26076,1.27188,0.64622,0.67963,0.68662,0.39367,1.49618,1.27412,1.4128,0.0016238,0.0016238,0.0016238
59,889.39,1.32985,1.26687,1.26014,0.75586,0.62595,0.70138,0.40839,1.42196,1.28602,1.43264,0.0016172,0.0016172,0.0016172
60,903.849,1.28819,1.21032,1.24057,0.74948,0.70918,0.76068,0.44325,1.45556,1.13937,1.42799,0.0016106,0.0016106,0.0016106
61,918.587,1.30279,1.17975,1.24143,0.75711,0.66407,0.76812,0.47162,1.34249,1.10563,1.32444,0.001604,0.001604,0.001604
